Song,Artist,Rank,Peak Position,Weeks in Charts
The Dark Side Of The Moon,Pink Floyd,155,1,988
The Dark Side Of The Moon,Pink Floyd,114,1,987
The Dark Side Of The Moon,Pink Floyd,195,1,984
The Dark Side Of The Moon,Pink Floyd,145,1,983
The Dark Side Of The Moon,Pink Floyd,191,1,981
The Dark Side Of The Moon,Pink Floyd,200,1,980
The Dark Side Of The Moon,Pink Floyd,185,1,979
The Dark Side Of The Moon,Pink Floyd,161,1,978
The Dark Side Of The Moon,Pink Floyd,48,1,977
The Dark Side Of The Moon,Pink Floyd,172,1,976
The Dark Side Of The Moon,Pink Floyd,154,1,975
The Dark Side Of The Moon,Pink Floyd,133,1,974
The Dark Side Of The Moon,Pink Floyd,123,1,973
The Dark Side Of The Moon,Pink Floyd,155,1,972
The Dark Side Of The Moon,Pink Floyd,132,1,971
The Dark Side Of The Moon,Pink Floyd,144,1,970
The Dark Side Of The Moon,Pink Floyd,136,1,969
The Dark Side Of The Moon,Pink Floyd,152,1,968
The Dark Side Of The Moon,Pink Floyd,156,1,967
The Dark Side Of The Moon,Pink Floyd,167,1,966
The Dark Side Of The Moon,Pink Floyd,166,1,965
The Dark Side Of The Moon,Pink Floyd,143,1,964
The Dark Side Of The Moon,Pink Floyd,169,1,961
The Dark Side Of The Moon,Pink Floyd,128,1,960
The Dark Side Of The Moon,Pink Floyd,153,1,958
The Dark Side Of The Moon,Pink Floyd,177,1,957
The Dark Side Of The Moon,Pink Floyd,131,1,956
The Dark Side Of The Moon,Pink Floyd,141,1,955
The Dark Side Of The Moon,Pink Floyd,142,1,954
The Dark Side Of The Moon,Pink Floyd,150,1,953
The Dark Side Of The Moon,Pink Floyd,169,1,949
The Dark Side Of The Moon,Pink Floyd,102,1,948
The Dark Side Of The Moon,Pink Floyd,115,1,947
The Dark Side Of The Moon,Pink Floyd,144,1,946
The Dark Side Of The Moon,Pink Floyd,118,1,945
The Dark Side Of The Moon,Pink Floyd,179,1,942
The Dark Side Of The Moon,Pink Floyd,114,1,941
The Dark Side Of The Moon,Pink Floyd,115,1,940
The Dark Side Of The Moon,Pink Floyd,172,1,939
The Dark Side Of The Moon,Pink Floyd,179,1,937
The Dark Side Of The Moon,Pink Floyd,127,1,935
The Dark Side Of The Moon,Pink Floyd,89,1,933
The Dark Side Of The Moon,Pink Floyd,178,1,929
The Dark Side Of The Moon,Pink Floyd,195,1,927
The Dark Side Of The Moon,Pink Floyd,199,1,922
The Dark Side Of The Moon,Pink Floyd,166,1,921
The Dark Side Of The Moon,Pink Floyd,172,1,920
The Dark Side Of The Moon,Pink Floyd,189,1,917
The Dark Side Of The Moon,Pink Floyd,194,1,915
The Dark Side Of The Moon,Pink Floyd,193,1,914
The Dark Side Of The Moon,Pink Floyd,197,1,913
The Dark Side Of The Moon,Pink Floyd,196,1,912
The Dark Side Of The Moon,Pink Floyd,191,1,911
The Dark Side Of The Moon,Pink Floyd,180,1,909
The Dark Side Of The Moon,Pink Floyd,176,1,906
The Dark Side Of The Moon,Pink Floyd,196,1,905
The Dark Side Of The Moon,Pink Floyd,188,1,904
The Dark Side Of The Moon,Pink Floyd,185,1,903
The Dark Side Of The Moon,Pink Floyd,193,1,902
The Dark Side Of The Moon,Pink Floyd,134,1,901
The Dark Side Of The Moon,Pink Floyd,154,1,900
The Dark Side Of The Moon,Pink Floyd,163,1,899
The Dark Side Of The Moon,Pink Floyd,171,1,896
The Dark Side Of The Moon,Pink Floyd,179,1,895
The Dark Side Of The Moon,Pink Floyd,150,1,894
The Dark Side Of The Moon,Pink Floyd,180,1,893
The Dark Side Of The Moon,Pink Floyd,191,1,892
The Dark Side Of The Moon,Pink Floyd,102,1,891
The Dark Side Of The Moon,Pink Floyd,183,1,889
The Dark Side Of The Moon,Pink Floyd,109,1,888
The Dark Side Of The Moon,Pink Floyd,123,1,887
The Dark Side Of The Moon,Pink Floyd,170,1,886
The Dark Side Of The Moon,Pink Floyd,157,1,885
The Dark Side Of The Moon,Pink Floyd,150,1,884
The Dark Side Of The Moon,Pink Floyd,117,1,883
The Dark Side Of The Moon,Pink Floyd,149,1,882
The Dark Side Of The Moon,Pink Floyd,149,1,881
The Dark Side Of The Moon,Pink Floyd,142,1,880
The Dark Side Of The Moon,Pink Floyd,150,1,879
The Dark Side Of The Moon,Pink Floyd,149,1,878
The Dark Side Of The Moon,Pink Floyd,141,1,877
The Dark Side Of The Moon,Pink Floyd,136,1,876
The Dark Side Of The Moon,Pink Floyd,131,1,875
The Dark Side Of The Moon,Pink Floyd,138,1,874
The Dark Side Of The Moon,Pink Floyd,128,1,873
The Dark Side Of The Moon,Pink Floyd,149,1,872
The Dark Side Of The Moon,Pink Floyd,138,1,871
The Dark Side Of The Moon,Pink Floyd,100,1,870
The Dark Side Of The Moon,Pink Floyd,111,1,869
The Dark Side Of The Moon,Pink Floyd,152,1,868
The Dark Side Of The Moon,Pink Floyd,89,1,867
The Dark Side Of The Moon,Pink Floyd,73,1,866
The Dark Side Of The Moon,Pink Floyd,158,1,865
The Dark Side Of The Moon,Pink Floyd,174,1,864
The Dark Side Of The Moon,Pink Floyd,178,1,862
The Dark Side Of The Moon,Pink Floyd,186,1,860
The Dark Side Of The Moon,Pink Floyd,177,1,859
The Dark Side Of The Moon,Pink Floyd,190,1,858
The Dark Side Of The Moon,Pink Floyd,167,1,857
The Dark Side Of The Moon,Pink Floyd,168,1,854
